STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,trac_area,clipped_area
"48","085","032013","48085032013","320.13",Census Tract 320.13,G5020,S,"5306860","30989","+33.0540065","-096.6886424",5337845.82754214,295482.338
"48","085","032012","48085032012","320.12",Census Tract 320.12,G5020,S,"1626809","0","+33.0360750","-096.6894852",1626810.44465036,459414.645
"48","085","031622","48085031622","316.22",Census Tract 316.22,G5020,S,"3871704","0","+33.0339906","-096.7205137",3871701.9314474,224194.308
"48","085","031611","48085031611","316.11",Census Tract 316.11,G5020,S,"2488323","0","+33.0487307","-096.7050244",2488320.75049253,93041.288
"48","085","031902","48085031902","319.02",Census Tract 319.02,G5020,S,"5673293","0","+33.0159346","-096.6978442",5673291.30724055,2746287.747
"48","085","032003","48085032003","320.03",Census Tract 320.03,G5020,S,"2291413","0","+33.0247826","-096.6906720",2291408.90415716,719675.052
"48","085","031623","48085031623","316.23",Census Tract 316.23,G5020,S,"1855018","0","+33.0231135","-096.7211005",1855021.86609973,585.542
"48","085","031808","48085031808","318.08",Census Tract 318.08,G5020,S,"2973696","8426","+33.0137716","-096.7224786",2982117.85449651,2326.267
"48","085","031810","48085031810","318.10",Census Tract 318.10,G5020,S,"1407494","0","+33.0006932","-096.7191347",1407495.18211525,181091.465
"48","085","031904","48085031904","319.04",Census Tract 319.04,G5020,S,"651456","0","+33.0005604","-096.7040134",651455.019910465,651455.020
"48","085","031809","48085031809","318.09",Census Tract 318.09,G5020,S,"1126540","6331","+33.0058457","-096.7262650",1132869.99947842,108204.984
"48","085","031815","48085031815","318.15",Census Tract 318.15,G5020,S,"2138986","2423","+32.9918207","-096.7178289",2141408.12380917,465823.566
"48","085","031816","48085031816","318.16",Census Tract 318.16,G5020,S,"3314273","34817","+32.9904017","-096.6956466",3349094.59596268,555167.247
"48","085","031903","48085031903","319.03",Census Tract 319.03,G5020,S,"1507158","0","+32.9998920","-096.6874314",1507157.83659183,277127.971
"48","113","019052","48113019052","190.52",Census Tract 190.52,G5020,S,"1470953","0","+32.9801964","-096.7069567",1470953.06930229,746077.456
"48","113","019210","48113019210","192.10",Census Tract 192.10,G5020,S,"3109154","0","+32.9811167","-096.7285400",3109146.87230234,428206.873
"48","113","019053","48113019053","190.53",Census Tract 190.53,G5020,S,"3283601","0","+32.9673723","-096.7108836",3283602.5065884,781063.143
"48","113","019039","48113019039","190.39",Census Tract 190.39,G5020,S,"4532728","0","+32.9465166","-096.7074162",4532728.26246817,19081.225
"48","113","019101","48113019101","191.01",Census Tract 191.01,G5020,S,"1368187","0","+32.9481597","-096.7339318",1368187.62822924,814922.751
"48","113","019102","48113019102","191.02",Census Tract 191.02,G5020,S,"3011501","0","+32.9489047","-096.7225579",3011504.19672911,515266.967
"48","113","019203","48113019203","192.03",Census Tract 192.03,G5020,S,"2958019","8831","+32.9568544","-096.7416435",2966853.39262347,28159.593
"48","113","019211","48113019211","192.11",Census Tract 192.11,G5020,S,"3358304","0","+32.9696000","-096.7320622",3358310.94693489,732910.969
"48","113","019040","48113019040","190.40",Census Tract 190.40,G5020,S,"5350032","1149","+32.9323213","-096.7387195",5351194.20130912,1042075.857
"48","113","019202","48113019202","192.02",Census Tract 192.02,G5020,S,"2010839","14077","+32.9459399","-096.7468299",2024913.29254654,298405.278
"48","113","007829","48113007829","78.29",Census Tract 78.29,G5020,S,"1813665","0","+32.9168187","-096.7607787",1813664.4519543,1279150.770
"48","113","019016","48113019016","190.16",Census Tract 190.16,G5020,S,"1139087","0","+32.9195134","-096.7421805",1139086.43239957,372462.436
"48","113","007828","48113007828","78.28",Census Tract 78.28,G5020,S,"1117489","0","+32.9137737","-096.7509388",1117489.34498313,901620.669
"48","113","007823","48113007823","78.23",Census Tract 78.23,G5020,S,"1609453","0","+32.8924649","-096.7644301",1609454.4415725,596520.817
"48","113","013101","48113013101","131.01",Census Tract 131.01,G5020,S,"2620901","0","+32.9027113","-096.7790238",2620901.24211571,40312.948
"48","113","007805","48113007805","78.05",Census Tract 78.05,G5020,S,"2692556","0","+32.9020123","-096.7577754",2692553.66772155,1035062.402
"48","113","013202","48113013202","132.02",Census Tract 132.02,G5020,S,"2919980","35510","+32.9176103","-096.7776367",2955486.28376815,32922.843
"48","113","013104","48113013104","131.04",Census Tract 131.04,G5020,S,"538242","0","+32.8834997","-096.7738781",538244.062709387,206396.349
"48","113","007822","48113007822","78.22",Census Tract 78.22,G5020,S,"1535099","20692","+32.8768842","-096.7663931",1555789.88676143,1537347.299
"48","113","007801","48113007801","78.01",Census Tract 78.01,G5020,S,"2442663","33896","+32.8731554","-096.7776351",2476560.92843181,394367.957
"48","113","013107","48113013107","131.07",Census Tract 131.07,G5020,S,"486059","0","+32.8916421","-096.7722324",486059.271901855,11077.209
"48","113","007815","48113007815","78.15",Census Tract 78.15,G5020,S,"1273816","0","+32.8799479","-096.7567462",1273816.88765373,530107.519
"48","113","007819","48113007819","78.19",Census Tract 78.19,G5020,S,"689384","0","+32.8655737","-096.7594159",689383.437466135,281003.126
"48","113","007830","48113007830","78.30",Census Tract 78.30,G5020,S,"152546","0","+32.8690806","-096.7597919",152546.821788503,98388.854
"48","113","007821","48113007821","78.21",Census Tract 78.21,G5020,S,"1303242","44542","+32.8734943","-096.7475548",1347782.89613579,37822.203
"48","113","007832","48113007832","78.32",Census Tract 78.32,G5020,S,"234574","0","+32.8686215","-096.7544109",234575.827991877,17507.045
"48","113","007909","48113007909","79.09",Census Tract 79.09,G5020,S,"499418","0","+32.8534662","-096.7665661",499416.228585391,307429.869
"48","113","007913","48113007913","79.13",Census Tract 79.13,G5020,S,"605345","0","+32.8483155","-096.7671175",605345.267284166,510698.830
"48","113","019302","48113019302","193.02",Census Tract 193.02,G5020,S,"1862188","0","+32.8446397","-096.7804746",1862189.12340794,996133.760
"48","113","007906","48113007906","79.06",Census Tract 79.06,G5020,S,"1247282","0","+32.8602949","-096.7756820",1247285.39691168,166419.912
"48","113","007914","48113007914","79.14",Census Tract 79.14,G5020,S,"855948","0","+32.8421573","-096.7694872",855952.150484649,597083.050
"48","113","019301","48113019301","193.01",Census Tract 193.01,G5020,S,"1199676","0","+32.8563450","-096.7818523",1199677.07052917,211772.718
"48","113","000202","48113000202","2.02",Census Tract 2.02,G5020,S,"1571509","30513","+32.8318688","-096.7662373",1602026.10888221,236497.114
"48","113","000300","48113000300","3",Census Tract 3,G5020,S,"1809162","0","+32.8301654","-096.7761239",1809164.10939655,710987.046
"48","113","000706","48113000706","7.06",Census Tract 7.06,G5020,S,"357428","0","+32.8265470","-096.7858152",357428.719132636,808.071
"48","113","019600","48113019600","196",Census Tract 196,G5020,S,"1015403","0","+32.8314269","-096.7876412",1015407.17619155,51855.443
