fid,station_no,Name,Location,Latitude,Longitude,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_2,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,trac_area,intersect_area
"1","1",Parker Road Station,"2600 Archerwood St., Plano",33.03414387,-96.7007618,"48","085","032013","48085032013","320.13",Census Tract 320.13,G5020,S,"5306860","30989","+33.0540065","-096.6886424",5337845.82754214,295482.337
"1","1",Parker Road Station,"2600 Archerwood St., Plano",33.03414387,-96.7007618,"48","085","032012","48085032012","320.12",Census Tract 320.12,G5020,S,"1626809","0","+33.0360750","-096.6894852",1626810.44465036,459414.647
"1","1",Parker Road Station,"2600 Archerwood St., Plano",33.03414387,-96.7007618,"48","085","032003","48085032003","320.03",Census Tract 320.03,G5020,S,"2291413","0","+33.0247826","-096.6906720",2291408.90415716,181897.888
"1","1",Parker Road Station,"2600 Archerwood St., Plano",33.03414387,-96.7007618,"48","085","031622","48085031622","316.22",Census Tract 316.22,G5020,S,"3871704","0","+33.0339906","-096.7205137",3871701.9314474,224194.306
"1","1",Parker Road Station,"2600 Archerwood St., Plano",33.03414387,-96.7007618,"48","085","031611","48085031611","316.11",Census Tract 316.11,G5020,S,"2488323","0","+33.0487307","-096.7050244",2488320.75049253,93041.288
"1","1",Parker Road Station,"2600 Archerwood St., Plano",33.03414387,-96.7007618,"48","085","031902","48085031902","319.02",Census Tract 319.02,G5020,S,"5673293","0","+33.0159346","-096.6978442",5673291.30724055,746845.383
"2","2",Downtown Plano Station,"1001 E. 16th St., Plano",33.0208544,-96.70094337,"48","085","032003","48085032003","320.03",Census Tract 320.03,G5020,S,"2291413","0","+33.0247826","-096.6906720",2291408.90415716,544842.481
"2","2",Downtown Plano Station,"1001 E. 16th St., Plano",33.0208544,-96.70094337,"48","085","031623","48085031623","316.23",Census Tract 316.23,G5020,S,"1855018","0","+33.0231135","-096.7211005",1855021.86609973,585.542
"2","2",Downtown Plano Station,"1001 E. 16th St., Plano",33.0208544,-96.70094337,"48","085","031902","48085031902","319.02",Census Tract 319.02,G5020,S,"5673293","0","+33.0159346","-096.6978442",5673291.30724055,1453121.560
"2","2",Downtown Plano Station,"1001 E. 16th St., Plano",33.0208544,-96.70094337,"48","085","031808","48085031808","318.08",Census Tract 318.08,G5020,S,"2973696","8426","+33.0137716","-096.7224786",2982117.85449651,2326.274
"3","3",CityLine/Bush Station,"1300 E. President George Bush Highway, Richardson",33.00215186,-96.70321026,"48","085","031810","48085031810","318.10",Census Tract 318.10,G5020,S,"1407494","0","+33.0006932","-096.7191347",1407495.18211525,181091.467
"3","3",CityLine/Bush Station,"1300 E. President George Bush Highway, Richardson",33.00215186,-96.70321026,"48","085","031904","48085031904","319.04",Census Tract 319.04,G5020,S,"651456","0","+33.0005604","-096.7040134",651455.019910465,651455.020
"3","3",CityLine/Bush Station,"1300 E. President George Bush Highway, Richardson",33.00215186,-96.70321026,"48","085","031809","48085031809","318.09",Census Tract 318.09,G5020,S,"1126540","6331","+33.0058457","-096.7262650",1132869.99947842,108204.982
"3","3",CityLine/Bush Station,"1300 E. President George Bush Highway, Richardson",33.00215186,-96.70321026,"48","085","031902","48085031902","319.02",Census Tract 319.02,G5020,S,"5673293","0","+33.0159346","-096.6978442",5673291.30724055,588597.127
"3","3",CityLine/Bush Station,"1300 E. President George Bush Highway, Richardson",33.00215186,-96.70321026,"48","085","031815","48085031815","318.15",Census Tract 318.15,G5020,S,"2138986","2423","+32.9918207","-096.7178289",2141408.12380917,508.856
"3","3",CityLine/Bush Station,"1300 E. President George Bush Highway, Richardson",33.00215186,-96.70321026,"48","085","031816","48085031816","318.16",Census Tract 318.16,G5020,S,"3314273","34817","+32.9904017","-096.6956466",3349094.59596268,193890.442
"3","3",CityLine/Bush Station,"1300 E. President George Bush Highway, Richardson",33.00215186,-96.70321026,"48","085","031903","48085031903","319.03",Census Tract 319.03,G5020,S,"1507158","0","+32.9998920","-096.6874314",1507157.83659183,277127.966
"4","4",Galatyn Park Station,"2300 N. Central Expressway, Richardson",32.98467702,-96.711318,"48","113","019052","48113019052","190.52",Census Tract 190.52,G5020,S,"1470953","0","+32.9801964","-096.7069567",1470953.06930229,746077.477
"4","4",Galatyn Park Station,"2300 N. Central Expressway, Richardson",32.98467702,-96.711318,"48","085","031815","48085031815","318.15",Census Tract 318.15,G5020,S,"2138986","2423","+32.9918207","-096.7178289",2141408.12380917,465314.690
