SUMLEV,COUNTY,PLACE,TRACT,BLOCK,UA,UATYPE,ZCTA,SDELM,SDSEC,SDUNI,POP100,HU100,INTPTLAT,INTPTLON,tot_pop,one_race,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,two_races,three_races,four_races,five_races,six_races
140,001,,950100,,,,,,,,4641,2270,31.9714795,-95.5524385,4641,4311,3829,315,29,15,2,121,330,0,0,0,0
140,001,,950401,,,,,,,,5782,98,31.7346372,-95.8157096,5782,5763,2029,2174,1,20,0,1539,19,0,0,0,0
140,001,,950402,,,,,,,,7115,2,31.8000515,-95.9131097,7115,7109,2239,2924,3,21,0,1922,6,0,2,0,0
140,001,,950500,,,,,,,,4479,1931,31.787885,-95.6405375,4479,3935,2197,807,61,32,3,835,544,0,8,0,1
140,001,,950600,,,,,,,,6036,2390,31.7502049,-95.6692086,6036,5506,3090,1620,53,53,0,690,530,0,4,0,0
140,001,,950700,,,,,,,,2564,1014,31.7535129,-95.634667,2564,2318,916,948,15,9,3,427,246,0,0,0,1
140,001,,950800,,,,,,,,5427,2404,31.7374136,-95.6122762,5427,4940,3185,1137,23,69,0,526,487,2,7,0,1
140,001,,950901,,,,,,,,5281,1993,31.7062457,-95.735873,5281,4882,3792,554,65,86,0,385,399,1,2,0,0
140,001,,950902,,,,,,,,5090,2421,31.7877072,-95.504722,5090,4730,3872,473,27,25,2,331,360,1,5,1,0
140,001,,951001,,,,,,,,3618,1765,31.6453829,-95.4269988,3618,3421,3211,99,28,8,0,75,197,0,2,0,0
140,001,,951002,,,,,,,,3501,1504,31.6003928,-95.6403065,3501,3306,2938,208,28,9,2,121,195,0,2,1,0
140,001,,951100,,,,,,,,4388,2339,31.92191,-95.8429741,4388,4106,3624,318,24,45,1,94,282,3,0,0,0
140,003,,950100,,,,,,,,2405,833,32.3588238,-102.7169364,2405,1915,1610,15,12,30,0,248,490,0,0,0,0
140,003,,950200,,,,,,,,7710,2960,32.3283275,-102.5538708,7710,6202,4773,114,121,46,0,1148,1508,2,0,2,0
140,003,,950300,,,,,,,,4668,1814,32.3148521,-102.5485167,4668,3707,2357,84,58,27,0,1181,961,1,1,1,0
140,003,,950400,,,,,,,,3827,1413,32.176548,-102.4688186,3827,2932,2169,24,29,9,0,701,895,0,0,0,0
140,005,,000102,,,,,,,,4983,1857,31.3105941,-94.8729465,4983,4570,4005,191,46,44,0,284,413,0,1,2,0
140,005,,000103,,,,,,,,3440,1179,31.4580017,-94.8088804,3440,3202,2820,213,3,15,0,151,238,0,0,0,0
140,005,,000104,,,,,,,,2974,1278,31.4160643,-94.8716428,2974,2769,2526,69,11,4,0,159,205,0,2,0,0
140,005,,000201,,,,,,,,3138,1365,31.2957326,-94.6673417,3138,2851,2343,233,25,27,1,222,287,0,1,0,0
140,005,,000202,,,,,,,,3558,1478,31.4013717,-94.6726247,3558,3142,2185,390,23,19,0,525,416,0,0,0,0
140,005,,000301,,,,,,,,5413,2167,31.371135,-94.7743134,5413,4913,3718,666,49,29,1,450,500,0,5,0,0
140,005,,000302,,,,,,,,5319,2207,31.2784246,-94.7824619,5319,4795,3697,546,45,76,5,426,524,0,0,0,0
140,005,,000400,,,,,,,,5361,2285,31.3415939,-94.7543239,5361,4705,2406,1504,31,70,0,694,656,0,0,1,0
140,005,,000500,,,,,,,,3640,1743,31.3709548,-94.737445,3640,3372,597,2222,27,4,2,520,268,0,0,0,0
140,005,,000600,,,,,,,,5836,2024,31.3481548,-94.6971146,5836,5040,1824,1637,75,30,5,1469,796,0,0,0,0
140,005,,000700,,,,,,,,3070,1239,31.3365075,-94.7258122,3070,2602,1064,758,25,27,2,726,468,0,1,0,0
